company_id,field_id,start_year,end_year,reason,created_at,updated_at
INFR,advertising_expense,,,INFR は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-20T22:47:06Z,2026-06-20T22:47:06Z
INFR,cost_expense,,,INFR は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-20T22:47:38Z,2026-06-20T22:47:38Z
INFR,cost_labor,,,INFR は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-20T22:47:42Z,2026-06-20T22:47:42Z
INFR,cost_materials,,,INFR は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-20T22:47:46Z,2026-06-20T22:47:46Z
INFR,cost_subcontract,,,INFR は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-20T22:47:50Z,2026-06-20T22:47:50Z
INFR,donation_expense,,,INFR は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-20T22:47:53Z,2026-06-20T22:47:53Z
INFR,entertainment_expense,,,INFR は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-20T22:47:59Z,2026-06-20T22:47:59Z
INFR,construction_gross_profit_standalone,,,INFR は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-20T22:48:08Z,2026-06-20T22:48:08Z
INFR,construction_revenue_standalone,,,INFR は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-20T22:48:18Z,2026-06-20T22:48:18Z
KUMAGAI,gross_profit_standalone,,,KUMAGAI は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-20T22:49:33Z,2026-06-20T22:49:33Z
INFR,net_sales_standalone,,,INFR は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-20T22:49:50Z,2026-06-20T22:49:50Z
INFR,gross_profit_standalone,,,INFR は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-20T22:51:15Z,2026-06-20T22:51:15Z
MAEDA,cost_expense,2021,,MAEDA は2021年度以降INFR開示主体となり、この項目は前田建設単独として比較対象外,2026-06-20T23:37:28Z,2026-06-20T23:37:28Z
MAEDA,advertising_expense,2022,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-21T06:28:00Z,2026-06-21T06:28:00Z
MAEDA,entertainment_expense,2022,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-21T06:28:13Z,2026-06-21T06:28:13Z
MAEDA,cost_labor,2022,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-21T06:29:07Z,2026-06-22T20:53:25Z
MAEDA,cost_materials,2022,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-22T20:53:46Z,2026-06-22T20:53:46Z
MAEDA,cost_subcontract,2022,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-22T20:53:55Z,2026-06-22T20:53:55Z
MAEDA,donation_expense,2022,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-22T20:54:07Z,2026-06-22T20:54:07Z
MAEDA,construction_revenue_consolidated,2023,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-23T03:25:21Z,2026-06-23T03:25:21Z
MAEDA,construction_gross_profit_consolidated,2023,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-23T03:25:32Z,2026-06-23T03:25:32Z
MAEDA,operating_income_consolidated,2023,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-23T03:25:44Z,2026-06-23T03:25:44Z
MAEDA,profit_consolidated,2023,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-23T03:25:53Z,2026-06-23T03:25:53Z
MAEDA,ordinary_income_consolidated,2023,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-23T03:26:02Z,2026-06-23T03:26:02Z
MAEDA,net_assets_consolidated,2023,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-23T03:26:10Z,2026-06-23T03:26:10Z
MAEDA,net_sales_consolidated,2024,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-23T03:26:23Z,2026-06-23T03:26:23Z
MAEDA,equity_consolidated,2024,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-23T03:33:28Z,2026-06-23T03:33:28Z
MAEDA,gross_profit_standalone,2024,,MAEDA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-06-23T03:33:33Z,2026-06-23T03:33:33Z
ANDO_HAZAMA,nc_04b3ae6b17d68200,2015,2015,ANDO_HAZAMA は持株会社等であり、この項目は同業ゼネコン比較の対象外,2026-07-04T21:53:08Z,2026-07-04T21:53:08Z
ANDO_HAZAMA,nc_140bbe49a3c86b7a,2015,,１株当たり親会社所有者帰属持分_IFRS は原典上、独立した分析項目ではなく他項目の内訳・位置要素のため対象外,2026-07-04T22:01:46Z,2026-07-04T22:01:46Z
ANDO_HAZAMA,nc_25e977441b241f55,2015,,１株当たり純資産額_連結 は原典上、独立した分析項目ではなく他項目の内訳・位置要素のため対象外,2026-07-04T22:02:07Z,2026-07-04T22:02:07Z
